Municipio del hecho DANE,Departamento del hecho DANE,total_casos,ratio_masculino,años_activos,cluster
chiquinquirá,boyacá,44,0.0,10,0
chiriguaná,cesar,94,0.0,10,0
chita,boyacá,5,0.0,4,1
chitagá,norte de santander,28,0.0,8,0
chitaraque,boyacá,9,0.0,7,1
chivolo,magdalena,21,0.0,7,1
chocontá,cundinamarca,15,0.0,7,1
chía,cundinamarca,63,0.0,10,0
cicuco,bolívar,12,0.0,7,1
cimitarra,santander,107,0.0,10,0
circasia,quindio,9,0.0,1,1
circasia,quindío,82,0.0,8,0
cisneros,antioquia,53,0.0,10,0
ciudad bolívar,antioquia,271,0.0,10,0
ciénaga,magdalena,501,0.0,10,0
ciénaga de oro,córdoba,44,0.0,7,1
clemencia,bolívar,29,0.0,10,0
cocorná,antioquia,47,0.0,10,0
coello,tolima,15,0.0,8,0
cogua,cundinamarca,9,0.0,7,1
colombia,huila,12,0.0,7,1
coloso,sucre,12,0.0,6,1
concepción,antioquia,7,0.0,5,1
concordia,antioquia,110,0.0,10,0
condoto,chocó,10,0.0,6,1
contadero,nariño,7,0.0,3,1
convención,norte de santander,122,0.0,9,0
copacabana,antioquia,212,0.0,10,0
coper,boyacá,6,0.0,4,1
corinto,cauca,325,0.0,10,0
corozal,sucre,119,0.0,10,0
cota,cundinamarca,21,0.0,8,0
cotorra,córdoba,36,0.0,10,0
coveñas,sucre,67,0.0,10,0
coyaima,tolima,45,0.0,10,0
cravo norte,arauca,17,0.0,8,0
cuaspúd,nariño,14,0.0,4,1
cubará,boyacá,13,0.0,6,1
cucunubá,cundinamarca,11,0.0,6,1
cumaral,meta,31,0.0,10,0
cumaribo,vichada,35,0.0,9,0
cumbal,nariño,23,0.0,9,0
cumbitara,nariño,25,0.0,6,1
cunday,tolima,15,0.0,6,1
curillo,caquetá,43,0.0,9,0
curití,santander,6,0.0,5,1
curumaní,cesar,74,0.0,9,0
cáceres,antioquia,286,0.0,10,0
cáchira,norte de santander,10,0.0,5,1
cácota,norte de santander,7,0.0,4,1
cáqueza,cundinamarca,13,0.0,8,0
cértegui,chocó,7,0.0,5,1
cómbita,boyacá,25,0.0,10,0
córdoba,bolívar,12,0.0,8,0
córdoba,nariño,16,0.0,7,1
cúcuta,norte de santander,2599,0.0,10,3
dabeiba,antioquia,120,0.0,10,0
dagua,valle del cauca,165,0.0,10,0
dibulla,la guajira,108,0.0,10,0
distracción,la guajira,8,0.0,5,1
dolores,tolima,16,0.0,8,0
don matías,antioquia,5,0.0,1,1
donmatías,antioquia,40,0.0,9,0
dos quebradas,risaralda,52,0.0,1,1
dosquebradas,risaralda,425,0.0,9,0
duitama,boyacá,75,0.0,10,0
durania,norte de santander,8,0.0,5,1
ebéjico,antioquia,43,0.0,10,0
el bagre,antioquia,228,0.0,10,0
el banco,magdalena,124,0.0,10,0
el cairo,valle del cauca,54,0.0,10,0
el carmen,norte de santander,80,0.0,9,0
el carmen de atrato,chocó,14,0.0,7,1
el carmen de bolívar,bolívar,202,0.0,10,0
el carmen de chucurí,santander,14,0.0,8,0
el carmen de viboral,antioquia,145,0.0,10,0
el castillo,meta,14,0.0,8,0
el cerrito,valle del cauca,350,0.0,10,0
el charco,nariño,27,0.0,9,0
el cocuy,boyacá,7,0.0,4,1
el colegio,cundinamarca,31,0.0,10,0
el copey,cesar,104,0.0,8,0
el doncello,caquetá,60,0.0,10,0
el dovio,valle del cauca,44,0.0,9,0
el litoral del san juan,chocó,43,0.0,7,1
el paso,cesar,126,0.0,10,0
el paujíl,caquetá,59,0.0,9,0
el peñol,nariño,9,0.0,4,1
el peñón,santander,11,0.0,7,1
el piñón,magdalena,13,0.0,6,1
el playón,santander,23,0.0,8,0
el retorno,guaviare,50,0.0,10,0
el retén,magdalena,53,0.0,10,0
el roble,sucre,14,0.0,7,1
el rosal,cundinamarca,21,0.0,10,0
el rosario,nariño,24,0.0,9,0
el santuario,antioquia,50,0.0,10,0
el tablón de gómez,nariño,5,0.0,5,1
el tambo,cauca,304,0.0,10,0
el tambo,nariño,9,0.0,5,1
el tarra,norte de santander,73,0.0,9,0
el zulia,norte de santander,106,0.0,10,0
el águila,valle del cauca,116,0.0,10,0
elías,huila,5,0.0,3,1
entrerríos,antioquia,29,0.0,8,0
envigado,antioquia,113,0.0,10,0
espinal,tolima,267,0.0,10,0
facatativá,cundinamarca,190,0.0,10,0
falan,tolima,11,0.0,8,0
filadelfia,caldas,14,0.0,7,1
filandia,quindío,13,0.0,5,1
flandes,tolima,130,0.0,10,0
florencia,caquetá,486,0.0,10,0
florencia,cauca,22,0.0,5,1
florida,valle del cauca,333,0.0,10,0
